name_en,name_tc,district_en,district_tc,address_en,address_tc,tel,website
St. Paul's Co-educational College Primary School,聖保羅男女中學附屬小學,Central & Western,中西區,"33 Macdonnell Road, Mid-Levels",香港中環麥當勞道33號,+852 2525 1234,https://www.spccps.edu.hk
St. Stephen's Girls' Primary School,聖士提反女子中學附屬小學,Central & Western,中西區,"2 Lyttelton Road, Mid-Levels",香港中環列堤頓道2號,+852 2525 1234,https://www.ssgps.edu.hk
German Swiss International School,德瑞國際學校,Central & Western,中西區,"11 Peak Road, The Peak",香港山頂道11號,+852 2849 6216,https://www.gsis.edu.hk
Chinese International School,漢基國際學校,Eastern,東區,"20 Braemar Hill Road, North Point",香港北角寶馬山道20號,+852 2510 7288,https://www.cis.edu.hk
Australian International School,澳洲國際學校,Eastern,東區,"4 Lei King Road, Sai Wan Ho",香港西灣河利景道4號,+852 2304 6078,https://www.ais.edu.hk
Island School,港島中學,Eastern,東區,"20 Borrett Road, Mid-Levels",香港中環波老道20號,+852 2524 7135,https://www.island.edu.hk
Hong Kong International School,香港國際學校,Southern,南區,"1 Red Hill Road, Repulse Bay",香港淺水灣南灣道1號,+852 3149 7000,https://www.hkis.edu.hk
Canadian International School,加拿大國際學校,Southern,南區,"36 Nam Long Shan Road, Aberdeen",香港南區黃竹坑南朗山道36號,+852 2525 7088,https://www.cdnis.edu.hk
Hong Kong Academy,香港學堂,Southern,南區,"33 Wai Man Road, Sai Kung",香港西貢惠民路33號,+852 2655 1111,https://www.hkacademy.edu.hk
Marymount Primary School,瑪利曼小學,Wan Chai,灣仔區,"10 Blue Pool Road, Happy Valley",香港跑馬地藍塘道10號,+852 2574 1234,https://www.mps.edu.hk
French International School,法國國際學校,Wan Chai,灣仔區,"165 Blue Pool Road, Happy Valley",香港跑馬地藍塘道165號,+852 2577 6217,https://www.lfis.edu.hk
Victoria Shanghai Academy,維多利亞上海學院,Wan Chai,灣仔區,"19 To Fung Shan Road, Happy Valley",香港跑馬地都豐山道19號,+852 2577 1234,https://www.vsa.edu.hk
Diocesan Preparatory School,拔萃小學,Kowloon City,九龍城區,"1 Oxford Road, Kowloon Tong",香港九龍塘牛津道1號,+852 2711 1234,https://www.dps.edu.hk
La Salle Primary School,喇沙小學,Kowloon City,九龍城區,"18 La Salle Road, Kowloon Tong",香港九龍塘喇沙利道18號,+852 2711 1234,https://www.lasalle.edu.hk
Yew Chung International School,耀中國際學校,Kowloon City,九龍城區,"3 To Fuk Road, Kowloon Tong",香港九龍塘多福道3號,+852 2338 7106,https://www.ycis-hk.com
Po Leung Kuk Choi Kai Yau School,保良局蔡繼有學校,Sha Tin,沙田區,"2 Tin Wan Street, Tin Wan",香港田灣田灣街2號,+852 2555 0338,https://www.cky.edu.hk
Shatin Junior School,沙田小學,Sha Tin,沙田區,"3 Lai Wo Lane, Fo Tan",香港火炭麗禾里3號,+852 2691 1818,https://www.sjs.edu.hk
Sha Tin College,沙田學院,Sha Tin,沙田區,"3 Lai Wo Lane, Fo Tan",香港火炭麗禾里3號,+852 2691 1818,https://www.shatincollege.edu.hk
American School Hong Kong,香港美國學校,Tai Po,大埔區,"6 Ma Chung Road, Tai Po",香港大埔馬聰路6號,+852 3919 4100,https://www.ashk.edu.hk
Tai Po Old Market Public School,大埔舊墟公立學校,Tai Po,大埔區,"1 Tai Po Road, Tai Po",香港大埔大埔道1號,+852 2665 1234,https://www.tpomps.edu.hk
Tai Po Methodist School,大埔循道衛理小學,Tai Po,大埔區,"2 Tai Po Road, Tai Po",香港大埔大埔道2號,+852 2665 1234,https://www.tpmps.edu.hk
Malvern College Hong Kong,香港墨爾文國際學校,Tsuen Wan,荃灣區,"3 Fo Chun Road, Pak Shek Kok",香港白石角科進路3號,+852 3898 4688,https://www.malverncollege.org.hk
Tsuen Wan Government Primary School,荃灣官立小學,Tsuen Wan,荃灣區,"123 Tsuen Wan Road, Tsuen Wan",香港荃灣荃灣路123號,+852 2490 1234,https://www.twgps.edu.hk
Tsuen Wan Methodist School,荃灣循道衛理小學,Tsuen Wan,荃灣區,"456 Tsuen Wan Road, Tsuen Wan",香港荃灣荃灣路456號,+852 2490 1234,https://www.twmps.edu.hk
Tuen Mun Government Primary School,屯門官立小學,Tuen Mun,屯門區,"789 Tuen Mun Road, Tuen Mun",香港屯門屯門路789號,+852 2450 1234,https://www.tmgps.edu.hk
Tuen Mun Methodist School,屯門循道衛理小學,Tuen Mun,屯門區,"321 Tuen Mun Road, Tuen Mun",香港屯門屯門路321號,+852 2450 1234,https://www.tmmps.edu.hk
Tuen Mun Catholic Primary School,屯門天主教小學,Tuen Mun,屯門區,"654 Tuen Mun Road, Tuen Mun",香港屯門屯門路654號,+852 2450 1234,https://www.tmcps.edu.hk
Yuen Long Government Primary School,元朗官立小學,Yuen Long,元朗區,"987 Yuen Long Road, Yuen Long",香港元朗元朗路987號,+852 2470 1234,https://www.ylgps.edu.hk
Yuen Long Methodist School,元朗循道衛理小學,Yuen Long,元朗區,"147 Yuen Long Road, Yuen Long",香港元朗元朗路147號,+852 2470 1234,https://www.ylmps.edu.hk
